country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ","27-03-2026 08:00:00",30.7057778,76.8531805555555,SO2,13,14,14
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","27-03-2026 08:00:00",12.938539,77.590100,PM2.5,55,122,81
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","27-03-2026 08:00:00",12.938539,77.590100,PM10,75,128,100
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","27-03-2026 08:00:00",12.920984,77.584908,PM2.5,58,112,80
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","27-03-2026 08:00:00",12.7816279,77.6299145,NH3,5,5,5
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","27-03-2026 08:00:00",12.990328,77.5431385,SO2,6,6,6
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","27-03-2026 08:00:00",13.0246342,77.5080115,NH3,NA,NA,NA
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","27-03-2026 08:00:00",13.0246342,77.5080115,OZONE,26,26,26
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","27-03-2026 08:00:00",16.172806,75.659694,CO,12,51,28
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","27-03-2026 08:00:00",12.9135218,77.5950804,PM2.5,32,56,44
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","27-03-2026 08:00:00",12.9135218,77.5950804,CO,47,57,51
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","27-03-2026 08:00:00",12.951913,77.539784,CO,8,66,30
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","27-03-2026 08:00:00",12.9756843,77.5660749,NO2,NA,NA,NA
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","27-03-2026 08:00:00",13.029152,77.585901,NO2,51,132,81
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","27-03-2026 08:00:00",13.029152,77.585901,CO,17,66,27
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","27-03-2026 08:00:00",28.52123,76.37138,OZONE,39,40,39
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","27-03-2026 08:00:00",29.536400,75.015800,PM10,94,145,117
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","27-03-2026 08:00:00",29.536400,75.015800,NO2,17,63,25
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB","27-03-2026 08:00:00",29.027200,77.062100,NH3,21,21,21
India,Karnataka,Bidar,"Naubad, Bidar - KSPCB","27-03-2026 08:00:00",17.930306,77.482194,NH3,NA,NA,NA
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","27-03-2026 08:00:00",11.55358,76.55521,NO2,14,35,21
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","27-03-2026 08:00:00",11.55358,76.55521,CO,12,24,16
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","27-03-2026 08:00:00",13.428828,77.731418,CO,24,32,26
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","27-03-2026 08:00:00",29.432304,76.972765,NO2,31,32,31
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","27-03-2026 08:00:00",29.432304,76.972765,CO,50,50,50
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","27-03-2026 08:00:00",29.432304,76.972765,OZONE,30,30,30
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","27-03-2026 08:00:00",28.52123,76.37138,PM2.5,2,278,128
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","27-03-2026 08:00:00",13.428828,77.731418,OZONE,14,18,18
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","27-03-2026 08:00:00",13.328028,75.797056,PM10,NA,NA,NA
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","27-03-2026 08:00:00",13.328028,75.797056,NH3,3,3,3
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","27-03-2026 08:00:00",30.1480566,77.2893471,PM10,78,252,108
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","27-03-2026 08:00:00",30.1480566,77.2893471,NO2,11,20,16
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","27-03-2026 08:00:00",22.6780,75.8559,OZONE,5,10,6
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","27-03-2026 08:00:00",22.7084,75.8815,OZONE,5,10,6
India,"Madhya Pradesh",Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC","27-03-2026 08:00:00",23.163174,79.973061,PM2.5,18,52,33
India,"Madhya Pradesh",Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC","27-03-2026 08:00:00",23.163174,79.973061,PM10,21,48,33
India,"Madhya Pradesh",Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC","27-03-2026 08:00:00",23.163174,79.973061,OZONE,5,36,6
India,"Madhya Pradesh",Jabalpur,"Gupteshwar, Jabalpur - JMC","27-03-2026 08:00:00",23.142888,79.916147,PM2.5,25,112,56
India,"Madhya Pradesh",Jabalpur,"Marhatal, Jabalpur - MPPCB","27-03-2026 08:00:00",23.168606,79.932247,OZONE,27,56,29
India,"Madhya Pradesh",Jabalpur,"Suhagi, Jabalpur - JMC","27-03-2026 08:00:00",23.218135,79.957770,PM2.5,18,83,51
India,"Madhya Pradesh",Jabalpur,"Suhagi, Jabalpur - JMC","27-03-2026 08:00:00",23.218135,79.957770,PM10,20,101,58
India,"Madhya Pradesh",Jabalpur,"Suhagi, Jabalpur - JMC","27-03-2026 08:00:00",23.218135,79.957770,NO2,29,87,51
India,"Madhya Pradesh",Katni,"Gole Bazar, Katni - MPPCB","27-03-2026 08:00:00",23.50016,80.23284,NH3,4,8,6
India,"Madhya Pradesh",Katni,"Gole Bazar, Katni - MPPCB","27-03-2026 08:00:00",23.50016,80.23284,CO,12,104,43
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","27-03-2026 08:00:00",26.200388,78.147714,PM2.5,17,306,133
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","27-03-2026 08:00:00",26.200388,78.147714,NO2,22,156,86
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","27-03-2026 08:00:00",26.200388,78.147714,OZONE,1,166,17
India,"Madhya Pradesh",Indore,"Airport Area, Indore - IMC","27-03-2026 08:00:00",22.7289,75.8076,OZONE,8,16,9
India,"Madhya Pradesh",Indore,"Chhoti Gwaltoli, Indore - MPPCB","27-03-2026 08:00:00",22.4310,75.5213,CO,22,74,26
India,"Madhya Pradesh",Indore,"Maguda Nagar, Indore - IMC","27-03-2026 08:00:00",22.7524,75.8872,PM2.5,22,118,47
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","27-03-2026 08:00:00",22.6780,75.8559,NO2,15,25,20
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","27-03-2026 08:00:00",22.6780,75.8559,NH3,1,3,2
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","27-03-2026 08:00:00",23.264759,77.381568,CO,16,59,20
India,"Madhya Pradesh",Bhopal,"Paryavaran Parisar, Bhopal - MPPCB","27-03-2026 08:00:00",23.210494,77.425409,NH3,6,7,7
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","27-03-2026 08:00:00",22.9682591,76.064118,PM2.5,16,211,45
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","27-03-2026 08:00:00",22.9682591,76.064118,NH3,5,13,9
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","27-03-2026 08:00:00",22.9682591,76.064118,OZONE,11,131,12
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","27-03-2026 08:00:00",26.203442,78.193251,OZONE,41,165,51
India,"Madhya Pradesh",Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB","27-03-2026 08:00:00",26.259242,78.216432,CO,38,105,72
India,Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB","27-03-2026 08:00:00",11.875000,75.373200,PM10,75,97,80
India,Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB","27-03-2026 08:00:00",11.875000,75.373200,NO2,16,16,16
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB","27-03-2026 08:00:00",8.563700,76.886500,NO2,6,7,6
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB","27-03-2026 08:00:00",8.563700,76.886500,SO2,1,36,8
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB","27-03-2026 08:00:00",8.5149093,76.9435879,PM2.5,24,46,34
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB","27-03-2026 08:00:00",8.5149093,76.9435879,PM10,35,69,50
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB","27-03-2026 08:00:00",10.532400,76.215900,OZONE,31,32,31
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB","27-03-2026 08:00:00",13.940000,75.555917,NH3,2,3,2
India,Karnataka,Udupi,"Brahmagiri, Udupi - KSPCB","27-03-2026 08:00:00",13.34194444,74.74694444,PM2.5,38,77,51
India,Karnataka,Udupi,"Brahmagiri, Udupi - KSPCB","27-03-2026 08:00:00",13.34194444,74.74694444,SO2,17,18,18
India,Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB","27-03-2026 08:00:00",16.802639,75.722694,OZONE,16,17,16
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB","27-03-2026 08:00:00",16.7602,77.1428,PM2.5,54,79,68
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB","27-03-2026 08:00:00",12.889250,74.853000,PM10,59,79,68
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","27-03-2026 08:00:00",12.21041,76.37376,NO2,8,30,17
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","27-03-2026 08:00:00",12.21041,76.37376,SO2,2,15,4
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","27-03-2026 08:00:00",12.733409,77.298051,PM2.5,38,174,75
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","27-03-2026 08:00:00",12.733409,77.298051,SO2,2,30,18
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","27-03-2026 08:00:00",12.733409,77.298051,CO,4,50,36
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","27-03-2026 08:00:00",15.3714823,75.1160168,CO,20,79,34
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","27-03-2026 08:00:00",17.336318,76.847397,SO2,2,6,3
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB","27-03-2026 08:00:00",15.347630,76.181767,NH3,8,8,8
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","27-03-2026 08:00:00",12.415911,75.735050,PM2.5,17,64,39
